2025-03-11 16:01:30,029 - DEBUG - downloader.py:282 - get_chapter_list - 找到章节: 第26话 克洛船长的诡计, URL: https://cn.bzmanga.com/user/page_direct?comic_id=hanghaiwang-weitianrongyilang_l20yux&section_slot=0&chapter_slot=25
2025-03-11 16:01:30,029 - DEBUG - downloader.py:282 - get_chapter_list - 找到章节: 第27话 路, URL: https://cn.bzmanga.com/user/page_direct?comic_id=hanghaiwang-weitianrongyilang_l20yux&section_slot=0&chapter_slot=26
2025-03-11 16:01:30,030 - DEBUG - downloader.py:282 - get_chapter_list - 找到章节: 第28话 新月, URL: https://cn.bzmanga.com/user/page_direct?comic_id=hanghaiwang-weitianrongyilang_l20yux&section_slot=0&chapter_slot=27
2025-03-11 16:01:30,030 - DEBUG - downloader.py:282 - get_chapter_list - 找到章节: 第29话 斜坡, URL: https://cn.bzmanga.com/user/page_direct?comic_id=hanghaiwang-weitianrongyilang_l20yux&section_slot=0&chapter_slot=28
2025-03-11 16:01:30,030 - DEBUG - downloader.py:282 - get_chapter_list - 找到章节: 第30话 GREAT, URL: https://cn.bzmanga.com/user/page_direct?comic_id=hanghaiwang-weitianrongyilang_l20yux&section_slot=0&chapter_slot=29
2025-03-11 16:01:30,030 - DEBUG - downloader.py:282 - get_chapter_list - 找到章节: 第31话 真相, URL: https://cn.bzmanga.com/user/page_direct?comic_id=hanghaiwang-weitianrongyilang_l20yux&section_slot=0&chapter_slot=30
2025-03-11 16:01:30,030 - DEBUG - downloader.py:282 - get_chapter_list - 找到章节: 第32话 大凶, URL: https://cn.bzmanga.com/user/page_direct?comic_id=hanghaiwang-weitianrongyilang_l20yux&section_slot=0&chapter_slot=31
2025-03-11 16:01:30,030 - DEBUG - downloader.py:282 - get_chapter_list - 找到章节: 第33话 无声的男人, URL: https://cn.bzmanga.com/user/page_direct?comic_id=hanghaiwang-weitianrongyilang_l20yux&section_slot=0&chapter_slot=32
2025-03-11 16:01:30,030 - DEBUG - downloader.py:282 - get_chapter_list - 找到章节: 第34话 管家克拉哈特尔, URL: https://cn.bzmanga.com/user/page_direct?comic_id=hanghaiwang-weitianrongyilang_l20yux&section_slot=0&chapter_slot=33
2025-03-11 16:01:30,030 - DEBUG - downloader.py:282 - get_chapter_list - 找到章节: 第35话 斜坡大逆转, URL: https://cn.bzmanga.com/user/page_direct?comic_id=hanghaiwang-weitianrongyilang_l20yux&section_slot=0&chapter_slot=34
2025-03-11 16:01:30,030 - DEBUG - downloader.py:282 - get_chapter_list - 找到章节: 第36话 追, URL: https://cn.bzmanga.com/user/page_direct?comic_id=hanghaiwang-weitianrongyilang_l20yux&section_slot=0&chapter_slot=35
2025-03-11 16:01:30,030 - DEBUG - downloader.py:282 - get_chapter_list - 找到章节: 第37话 海盗“诡计克洛”, URL: https://cn.bzmanga.com/user/page_direct?comic_id=hanghaiwang-weitianrongyilang_l20yux&section_slot=0&chapter_slot=36
2025-03-11 16:01:30,030 - DEBUG - downloader.py:282 - get_chapter_list - 找到章节: 第38话 海盗团, URL: https://cn.bzmanga.com/user/page_direct?comic_id=hanghaiwang-weitianrongyilang_l20yux&section_slot=0&chapter_slot=37
2025-03-11 16:01:30,030 - DEBUG - downloader.py:282 - get_chapter_list - 找到章节: 第39话 钟声为谁而鸣, URL: https://cn.bzmanga.com/user/page_direct?comic_id=hanghaiwang-weitianrongyilang_l20yux&section_slot=0&chapter_slot=38
2025-03-11 16:01:30,030 - DEBUG - downloader.py:282 - get_chapter_list - 找到章节: 第40话 撒谎布海盗团, URL: https://cn.bzmanga.com/user/page_direct?comic_id=hanghaiwang-weitianrongyilang_l20yux&section_slot=0&chapter_slot=39
2025-03-11 16:01:30,030 - DEBUG - downloader.py:282 - get_chapter_list - 找到章节: 第41话 奔向大海, URL: https://cn.bzmanga.com/user/page_direct?comic_id=hanghaiwang-weitianrongyilang_l20yux&section_slot=0&chapter_slot=40
2025-03-11 16:01:30,030 - DEBUG - downloader.py:282 - get_chapter_list - 找到章节: 第42话 约撒和强尼, URL: https://cn.bzmanga.com/user/page_direct?comic_id=hanghaiwang-weitianrongyilang_l20yux&section_slot=0&chapter_slot=41
